bin_selection,time,x,xerr,x2,xerr2,n,v,verr,diodes_diode,diodes_diodeerr,diodes_m2,diodes_m2err,y,yerr
21,77683704.00746246,13002.733485278855,5.717220097633033e-05,12816.471107107092,3.6077162256921124e-06,558.0,39991.59533763491,0.034272608408472315,0.11054976671887509,0.0034266267584797563,0.031190362005797896,0.03053113168134468,53.0,7.280109889280518
22,77683699.89239377,13002.733688540666,5.4696345412946875e-05,12816.471108378235,4.639133301965763e-06,515.0,39991.54044077717,0.04615289139848835,0.10059278816948486,0.0033928204372389546,0.030402930497039116,0.030510893764511087,66.0,8.12403840463596
23,77683696.05825917,13002.733877318164,5.291090323947745e-05,12816.471108463395,3.2174415303071333e-06,485.0,39991.505906185615,0.003534417964037325,0.09273207239524674,0.003209547322989363,0.024632005978291918,0.03172119590064467,77.0,8.774964387392123
24,77683692.07696201,13002.734075287579,5.908415628188197e-05,12816.471105623226,5.033319284264145e-06,556.0,39991.50171330935,0.0017327588325183076,0.08598944013438285,0.002607229332411085,0.023715749056000775,0.03029608139370027,99.0,9.9498743710662
25,77683687.96300468,13002.734281236777,5.893885488734873e-05,12816.471104493208,3.405102027200956e-06,516.0,39991.50659999997,0.0,0.08054990321603267,0.0017460253439459715,0.026587513071455293,0.03184893352044028,85.0,9.219544457292887
26,77683684.10559882,13002.734480867253,5.4332617980470955e-05,12816.471106355602,3.127664318282234e-06,487.0,39991.478869404695,0.012214874407452562,0.07529496515608537,0.0015250578405512309,0.028775329330081555,0.03163778412102966,71.0,8.426149773176359
27,77683680.4057574,13002.734674455325,5.915354044385349e-05,12816.471107683696,3.519101135237919e-06,478.0,39991.472303347226,0.0012972431874762247,0.07078578812703082,0.0017650688287972971,0.025740940205311487,0.031288963824213076,67.0,8.18535277187245
28,77683676.5958382,13002.734888545803,5.861110976199348e-05,12816.471109861814,5.488426074360012e-06,514.0,39991.46906789835,0.004507442486148945,0.06660849380907895,0.00216116103776008,0.02805647484583816,0.029551448206611028,107.0,10.344080432788601
29,77683672.74691068,13002.735084701102,5.349874652652929e-05,12816.471106847743,3.61918708694224e-06,489.0,39991.45800000026,0.0,0.0626660539355528,0.0016755499765230895,0.02360610568706477,0.031343358703599174,118.0,10.862780491200215
30,77683669.06749521,13002.735277941745,5.316496001807964e-05,12816.471106366462,3.7693507568214157e-06,476.0,39991.39133697502,0.03528473739364086,0.05987042197568546,0.0016252602552825717,0.024699084288433325,0.029854944304869176,113.0,10.63014581273465
31,77683665.24091396,13002.73548590318,6.309421692820615e-05,12816.471105000734,4.408517460027685e-06,527.0,39991.40722998071,0.038824375602994066,0.05830459328989847,0.001413490412397805,0.021126126482517636,0.03150600249665783,115.0,10.723805294763608
32,77683661.52695094,13002.735687737691,5.829472863791417e-05,12816.47110581511,4.951547347334092e-06,453.0,39991.451816777015,0.005699986901825807,0.05634590820054879,0.0012592680702778537,0.024433150738594697,0.028907434976944733,253.0,15.905973720586866
33,77683657.95376314,13002.735879596126,5.932565213719465e-05,12816.471104603452,3.468799890282369e-06,482.0,39991.48369999983,0.0,0.05514973153004502,0.0013286929242570709,0.023528763874976138,0.02972584618642437,230.0,15.165750888103101
34,77683654.39772427,13002.736080555827,5.361372964344237e-05,12816.47110559387,2.6272479725981687e-06,442.0,39991.48458371025,0.000676228550793918,0.05373918135653324,0.0012161376099866072,0.02634942262932037,0.029210464974352018,249.0,15.7797338380595
35,77683650.70967533,13002.736276840853,5.7769674803136765e-05,12816.47110679926,1.515219713393935e-06,520.0,39991.495017307585,0.01676390771419308,0.053584502334935655,0.0011084147577948322,0.022665070331028724,0.03187192901660069,283.0,16.822603841260722
36,77683646.77755208,13002.73648265672,5.417997568343781e-05,12816.471105973444,3.817860516284865e-06,517.0,39991.52329999963,0.0,0.05275448965678521,0.0011028631411051678,0.02206409991197966,0.03159470732927228,222.0,14.89966442575134
37,77683642.9151706,13002.736675411186,5.653995815122628e-05,12816.471105930048,3.263715107841797e-06,487.0,39991.462663038605,0.010052319379827007,0.05147961317719211,0.0011650951377161337,0.02294982140730005,0.030514507981547086,250.0,15.811388300841896
38,77683639.07521555,13002.73687997564,5.466324025399717e-05,12816.471107914917,3.51811305862965e-06,508.0,39991.44557322817,0.012036771070045445,0.050643989500252,0.0010455805982231396,0.0234030064410886,0.03136006896907262,300.0,17.320508075688775
39,77683634.95816334,13002.737077375214,6.303144384241696e-05,12816.47110546564,3.765734675996102e-06,566.0,39991.45849894015,0.027274395262213647,0.048785920021803694,0.0012827245247586314,0.027896532352319314,0.031666568123295866,172.0,13.114877048604
40,77683630.97216797,13002.737291739735,5.39724756302087e-05,12816.471105653996,3.1639154406002656e-06,476.0,39991.48598823555,0.019751948820391118,0.04655358891733372,0.001335371228005667,0.02600443935818754,0.030322513636865753,86.0,9.273618495495704
41,77683627.00089686,13002.737487339027,5.9632658731052515e-05,12816.471105096736,2.6673273624328654e-06,566.0,39991.41899999983,0.0,0.04497474724889257,0.0011785905961067232,0.022610985500729222,0.030600620058038784,148.0,12.165525060596439
42,77683622.99752857,13002.737689177953,5.632741232271581e-05,12816.471104502454,2.793009784158903e-06,477.0,39991.47957295566,0.02429883980033273,0.04379358883565031,0.001113441561684968,0.01925209137063369,0.03069765006703718,93.0,9.643650760992955
43,77683619.29188031,13002.737883338636,5.475327089523029e-05,12816.471106314557,2.4874285675529512e-06,479.0,39991.49820167019,0.009156192174789636,0.04253000294447535,0.001202667369899731,0.023506991738402056,0.03151882906842209,93.0,9.643650760992955
44,77683615.5944623,13002.738081887188,5.593988160660923e-05,12816.471106916073,4.776750866857468e-06,487.0,39991.496212320184,0.03227963804273158,0.04182649323674438,0.0010871840032738815,0.02384610534814417,0.03022105558679554,66.0,8.12403840463596
45,77683611.91070607,13002.738277936618,5.6752978379673726e-05,12816.471106235385,3.6429237058429403e-06,483.0,39991.404899999805,0.0,0.04048369434299852,0.0012859322462686843,0.02366739700215727,0.029418995644158157,69.0,8.306623862918075
46,77683608.08580658,13002.738474429236,5.728302848205743e-05,12816.471108384432,4.196690781341227e-06,515.0,39991.46454388316,0.035048993167906474,0.0393913453458624,0.001250945104606358,0.020524807470328074,0.030895349752681562,43.0,6.557438524302
47,77683604.10429573,13002.73867970953,6.328407271050236e-05,12816.471108215605,3.2321228635006985e-06,522.0,39991.44331819927,0.04412872847509308,0.03834746845798492,0.0012141248274954075,0.024177007388788977,0.02926947660375155,72.0,8.48528137423857
48,77683600.24685203,13002.738888237276,5.74231418828523e-05,12816.471106215069,3.958237455269657e-06,482.0,39991.399070539606,0.005808689748764426,0.03798531116200907,0.0012330955603701407,0.022223279780847132,0.030025721068422547,59.0,7.681145747868608
49,77683596.55615632,13002.739088174174,5.4048434507600074e-05,12816.471106677694,3.953139793632118e-06,489.0,39991.413899999505,0.0,0.03720592016866757,0.0011652221312632403,0.0234991529393576,0.030409680539710167,59.0,7.681145747868608
50,77683592.68675777,13002.7392835473,5.533737770799709e-05,12816.471106566081,3.660064167054536e-06,521.0,39991.4236648752,0.005172959884501462,0.036604001621224326,0.0010072087058019766,0.025194356285890906,0.03249945363803553,49.0,7.0
51,77683588.87342504,13002.739485582517,5.284288113578765e-05,12816.471107427265,3.565564186393026e-06,484.0,39991.49403719007,0.07324913399504258,0.035771309999199925,0.001020162157383222,0.02327672247936736,0.030249073213952832,56.0,7.483314773547883
52,77683585.03112513,13002.73968732293,5.281952736094116e-05,12816.47110680668,2.841352356417743e-06,521.0,39991.56079347409,0.02894351054036677,0.03564688439452073,0.0011213442757943444,0.02531809966676536,0.031486033782083075,64.0,8.0
53,77683581.07204571,13002.739877319944,5.473149904959735e-05,12816.471107699366,4.165609799293685e-06,507.0,39991.49340000003,0.0,0.03529058607177331,0.0011915345255228268,0.0262803660076513,0.029966069168926596,55.0,7.416198487095663
54,77683576.96378902,13002.740081289023,5.917917482450816e-05,12816.471106046201,4.391584402834729e-06,568.0,39991.52992816882,0.01415021137898873,0.03524162279763905,0.0010929534713467043,0.020340740635926995,0.030910653113918,76.0,8.717797887081348
55,77683573.12421468,13002.740278665406,5.448324646240444e-05,12816.471106076884,3.952995085284329e-06,441.0,39991.51332380939,0.017926491315774062,0.034515248561847005,0.0011005407479855896,0.02657542730492241,0.029355741455198738,55.0,7.416198487095663
56,77683569.42023222,13002.74047915083,5.909700261874178e-05,12816.47110762422,3.8351402322490245e-06,524.0,39991.527486640975,0.05103296064888865,0.034736791438636457,0.0010011494919703867,0.02160218466866487,0.03086179810824656,40.0,6.324555320336759
57,77683565.4082683,13002.740680793535,5.3019082266371336e-05,12816.471108340525,4.188337013914787e-06,520.0,39991.6180999999,0.0,0.03463622921233014,0.0011428452972670339,0.022000884491117513,0.03118651874244134,38.0,6.164414002968976
58,77683561.46871455,13002.740884450166,6.260624667940751e-05,12816.471106591167,4.390133995692943e-06,513.0,39991.52796666658,0.01769385486457514,0.03488013763517207,0.001102522307046019,0.01852916854676423,0.03098445319848249,39.0,6.244997998398398
59,77683557.49477617,13002.74108487277,6.310196031566174e-05,12816.471106671697,3.248175192230675e-06,527.0,39991.49173719171,0.022728282189663235,0.034479940589530744,0.0010257417492025866,0.02160797477948729,0.02972377450271194,50.0,7.0710678118654755
60,77683553.49796332,13002.741286726781,5.655126170683642e-05,12816.471105760926,6.115098591370484e-06,520.0,39991.49595999981,0.024469447274695855,0.03435853627683545,0.0010968630007537033,0.02438815814399891,0.030346296516158278,69.0,8.306623862918075
61,77683549.50504684,13002.74148975597,5.251717195907022e-05,12816.471108659507,3.384076599789568e-06,530.0,39991.52956377357,0.009175619509286484,0.034177588900944855,0.0010612866162297968,0.023754848298150923,0.03051536118968492,67.0,8.18535277187245
62,77683545.66020717,13002.741681240406,5.393567936343473e-05,12816.471107315767,4.064656885171135e-06,474.0,39991.55249999998,0.0,0.034267882983952294,0.0011673072760898266,0.02147430535737574,0.030278225565324522,54.0,7.3484692283495345
